tag,point_id,cell_id,cell_tag,rep,policy,rho,value_definition,candidate_updates,selected_updates,selection_policy,budget_fraction,value_retention,seeds
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,SimpleCoverageLoad,0.1,0.1725984796129924,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,SimpleCoverageLoad,0.2,0.3495162404975812,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,SimpleCoverageLoad,0.3,0.4336558396682792,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,SimpleCoverageLoad,0.4,0.6903939184519696,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,SimpleCoverageLoad,0.5,0.8673116793365584,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,SimpleCoverageLoad,0.6,0.9514512785072563,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,SimpleCoverageLoad,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,SimpleCoverageLoad,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,FirstLook,0.1,0.1725984796129924,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,FirstLook,0.2,0.3495162404975812,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,FirstLook,0.3,0.4336558396682792,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,FirstLook,0.4,0.6903939184519696,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,FirstLook,0.5,0.8673116793365584,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,FirstLook,0.6,0.97356599861783,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,FirstLook,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,FirstLook,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,DecisionAware,0.1,0.1725984796129924,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,DecisionAware,0.2,0.3495162404975812,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,DecisionAware,0.3,0.4336558396682792,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,DecisionAware,0.4,0.6903939184519696,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,DecisionAware,0.5,0.8673116793365584,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,DecisionAware,0.6,0.9514512785072563,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,DecisionAware,0.8,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,DecisionAware,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,B02Utility,0.1,0.0221147201105736,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,B02Utility,0.2,0.048548721492743606,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,B02Utility,0.3,0.048548721492743606,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,8,B02Utility,0.4,0.048548721492743606,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,10,B02Utility,0.5,0.22114720110573602,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,12,B02Utility,0.6,0.39806496199032476,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,16,B02Utility,0.8,0.7389426399447132,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,20,B02Utility,1.0,1.0,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,2,LearnedLogistic,0.1,0.0221147201105736,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,4,LearnedLogistic,0.2,0.22114720110573602,1
b03v2,base,exact_fifo@rho1.0,rep0_base_exact_fifo@rho1.0_b03v2,0,exact_fifo,1.0,horizon_h4,20,6,LearnedLogistic,0.3,0.30960608154803043,1
