selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
DecisionAware,0.6,0.7271253505871769,0.6718208118321243,0.7858151696380122,34,1439,0.7271253505871769,horizon_h4
DecisionAware,0.8,0.9120029135508153,0.8734546406985293,0.9463750631121229,34,1439,0.9120029135508153,horizon_h4
DecisionAware,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
FirstLook,0.1,0.06975544754106358,0.05630124074302917,0.0843049801995793,34,1439,0.06975544754106358,horizon_h4
FirstLook,0.2,0.16101693749321294,0.13120373237092128,0.19310407060687493,34,1439,0.16101693749321294,horizon_h4
FirstLook,0.3,0.3137339387893283,0.27203309822710753,0.35981751419834507,34,1439,0.3137339387893283,horizon_h4
FirstLook,0.4,0.46204944166226614,0.4079387950841814,0.5164896650963031,34,1439,0.46204944166226614,horizon_h4
FirstLook,0.5,0.6130269419661892,0.5394176347238967,0.6827206839057507,34,1439,0.6130269419661892,horizon_h4
FirstLook,0.6,0.7497006605163301,0.689902525886178,0.8094652245988905,34,1439,0.7497006605163301,horizon_h4
FirstLook,0.8,0.9252814057180182,0.8888442548623412,0.9572386752667489,34,1439,0.9252814057180182,horizon_h4
FirstLook,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
Freshness,0.1,0.1105845923618659,0.08932873678451131,0.13174308602790163,34,1439,0.1105845923618659,horizon_h4
Freshness,0.2,0.24163762585750573,0.20736377805257292,0.2746072943081778,34,1439,0.24163762585750573,horizon_h4
Freshness,0.3,0.3999406227912601,0.35390545394046197,0.4424263936825018,34,1439,0.3999406227912601,horizon_h4
Freshness,0.4,0.5295709611678356,0.4802633222486394,0.5770348132825859,34,1439,0.5295709611678356,horizon_h4
Freshness,0.5,0.6727331025443417,0.6169280097078799,0.7279532839984917,34,1439,0.6727331025443417,horizon_h4
Freshness,0.6,0.8040518343304478,0.7621134126379989,0.8493534705660848,34,1439,0.8040518343304478,horizon_h4
Freshness,0.8,0.9382107595114881,0.9088534984434139,0.9633476836419643,34,1439,0.9382107595114881,horizon_h4
Freshness,1.0,1.0,1.0,1.0,34,1439,1.0,horizon_h4
LearnedLogistic,0.1,0.04490975068712905,0.034352670866260086,0.05665158443983403,34,1439,0.04490975068712905,horizon_h4
LearnedLogistic,0.2,0.08056822578316744,0.061367176700017255,0.10292041986931623,34,1439,0.08056822578316744,horizon_h4
